,code,name,sector,shares,stock price,asset per company,dividend yield,PER,PBR,sales,operationg income,operationg margin,current ratio,dividend,payout ratio
0,1301,(株)極洋,水産・農林業,0,"2,874.00",0.0,2.44,11.01,0.98,"256,151.00","3,989.00",1.33,1.63,70.00,26.08
1,1332,日本水産(株),水産・農林業,0,616.00,0.0,1.30,12.47,1.31,"712,111.00","24,605.00",2.84,1.22,8.00,16.20
2,1333,マルハニチロ(株),水産・農林業,0,"2,542.00",0.0,1.57,8.01,1.07,"922,468.00","26,547.00",2.39,1.47,40.00,12.61
3,1352,(株)ホウスイ,卸売業,0,902.00,0.0,2.22,22.54,1.24,"76,880.00",685.00,1.03,0.81,20.00,49.85
4,1376,カネコ種苗(株),水産・農林業,0,"1,339.00",0.0,2.09,12.24,0.80,"58,592.67","1,845.73",3.04,1.50,28.00,25.60
5,1377,(株)サカタのタネ,水産・農林業,0,"3,415.00",0.0,0.97,22.37,1.51,"62,746.00","9,408.00",11.65,4.82,33.00,21.56
6,1379,ホクト(株),水産・農林業,0,"2,003.00",0.0,3.00,22.14,1.22,"70,183.00","4,548.00",4.73,0.89,60.00,59.69
7,1380,(株)秋川牧園,水産・農林業,0,803.00,0.0,0.62,24.77,1.97,"5,623.30",131.31,1.72,1.07,5.00,15.42
8,1381,(株)アクシーズ,水産・農林業,0,"2,588.00",0.0,2.99,8.04,1.05,"19,586.00","2,576.00",12.49,4.61,77.50,24.85
9,1382,(株)ホーブ,水産・農林業,0,"1,238.00",0.0,--,21.13,2.14,"3,591.23",49.38,1.29,2.11,0.00,0.00
10,1383,ベルグアース(株),水産・農林業,0,"2,750.00",0.0,0.36,--,3.08,"4,885.56",25.08,1.35,1.17,10.00,--
11,1384,(株)ホクリヨウ,水産・農林業,0,789.00,0.0,1.27,78.51,0.76,"12,763.99",310.03,1.21,1.44,10.00,99.51
12,1400,ルーデン・ホールディングス(株),建設業,0,255.00,0.0,--,--,1.13,"2,968.59",3.84,0.50,8.65,0.00,--
13,1401,(株)エムビーエス,建設業,0,916.00,0.0,--,23.32,3.18,"3,340.62",431.99,8.72,2.25,0.00,0.00
14,1407,(株)ウエストホールディングス,建設業,0,"1,802.00",0.0,2.50,12.46,2.51,"63,904.00","5,350.00",9.12,2.32,45.00,30.29
15,1413,(株)ヒノキヤグループ,建設業,0,"2,120.00",0.0,4.25,11.19,1.42,"117,687.40","5,302.34",4.13,1.46,90.00,47.54
16,1414,ショーボンドホールディングス(株),建設業,0,"4,550.00",0.0,1.70,30.31,3.14,"60,824.00","11,965.00",18.93,4.16,67.50,44.95
17,1417,(株)ミライト・ホールディングス,建設業,0,"1,563.00",0.0,2.56,6.03,0.81,"375,911.00","33,560.00",8.05,2.37,40.00,14.50
18,1418,インターライフホールディングス(株),建設業,0,244.00,0.0,1.64,--,1.20,"19,387.18",66.41,0.16,1.47,4.00,--
19,1419,タマホーム(株),建設業,0,"1,431.00",0.0,2.66,10.93,2.37,"186,874.00","5,756.00",3.43,1.04,53.00,40.47
20,1420,サンヨーホームズ(株),建設業,0,715.00,0.0,3.50,9.23,0.50,"53,888.68","1,521.39",2.62,1.70,25.00,32.28
21,1429,(株)日本アクア,建設業,0,637.00,0.0,2.67,16.13,3.01,"21,366.51","1,908.75",8.93,1.34,17.00,43.06
22,1430,ファーストコーポレーション(株),建設業,0,594.00,0.0,6.40,6.21,1.34,"19,015.98","1,874.59",9.87,2.08,38.00,39.79
23,1431,(株)Ｌｉｂ　Ｗｏｒｋ,建設業,0,"1,805.00",0.0,0.82,23.42,4.97,"6,597.22",590.81,8.07,2.16,12.50,17.25
24,1433,ベステラ(株),建設業,0,"1,155.00",0.0,1.39,15.35,3.64,"4,927.44",883.65,10.10,2.14,15.00,19.84
25,1434,ＪＥＳＣＯホールディングス(株),建設業,0,374.00,0.0,2.94,--,0.79,"10,370.86",-93.60,-1.03,1.50,11.00,--
26,1435,(株)ＴＡＴＥＲＵ,建設業,0,199.00,0.0,--,22.32,0.78,"79,149.34","2,671.72",0.55,3.16,5.00,52.42
27,1436,(株)フィット,建設業,0,663.00,0.0,1.51,--,0.67,"5,021.18",-379.66,-7.41,3.28,10.00,--
28,1439,(株)安江工務店,建設業,0,"1,155.00",0.0,3.81,12.52,1.01,"5,059.89",205.28,4.09,1.66,44.00,46.48
29,1443,技研ホールディングス(株),建設業,0,405.00,0.0,0.25,15.51,0.87,"9,455.31",681.22,7.08,1.91,1.00,3.83
30,1446,(株)キャンディル,建設業,0,695.00,0.0,0.79,29.66,2.28,"13,167.46",501.28,3.53,1.58,5.50,22.92
31,1447,ＩＴｂｏｏｋホールディングス(株),建設業,0,466.00,0.0,--,--,3.73,"11,272.41",41.07,0.41,1.29,0.00,--
32,1448,(株)スペースバリューホールディングス,建設業,0,567.00,0.0,4.59,76.86,0.77,"85,666.00","1,076.00",1.05,1.05,40.00,543.30
33,1450,田中建設工業(株),建設業,0,"3,080.00",0.0,2.27,11.86,1.87,"6,234.82",800.91,12.52,4.02,70.00,33.06
34,1451,(株)ＫＨＣ,建設業,0,805.00,0.0,7.45,6.17,0.59,"13,364.55",736.04,6.02,2.53,40.00,32.23
35,1491,中外鉱業(株),非鉄金属,0,18.00,0.0,--,42.19,0.78,"26,457.76",532.77,2.24,7.34,0.00,0.00
36,1514,住石ホールディングス(株),鉱業,0,144.00,0.0,2.08,3.56,0.65,"19,733.00","2,670.00",-1.19,4.88,3.00,6.32
37,1515,日鉄鉱業(株),鉱業,0,"4,410.00",0.0,2.04,6.85,0.36,"123,372.00","7,715.00",5.87,1.99,90.00,17.05
38,1518,三井松島ホールディングス(株),鉱業,0,"1,162.00",0.0,4.30,6.76,0.46,"75,702.00","4,245.00",4.47,2.39,50.00,29.15
39,1605,国際石油開発帝石(株),鉱業,0,"1,050.50",0.0,3.28,--,0.50,--,--,--,1.05,--,--
40,1662,石油資源開発(株),鉱業,0,"2,921.00",0.0,1.88,11.30,0.40,"267,980.00","13,074.00",0.82,5.13,40.00,15.47
41,1663,Ｋ＆Ｏエナジーグループ(株),鉱業,0,"1,783.00",0.0,1.57,17.78,0.64,"65,133.00","3,985.00",3.56,3.82,28.00,27.75
42,1711,(株)省電舎ホールディングス,建設業,0,309.00,0.0,--,--,3.42,"1,280.34",-254.05,-20.53,1.12,0.00,--
43,1712,(株)ダイセキ環境ソリューション,建設業,0,"1,060.00",0.0,0.57,31.59,1.51,"14,193.14",962.20,6.29,0.66,6.00,17.88
44,1716,第一カッター興業(株),建設業,0,"1,763.00",0.0,1.13,8.02,0.95,"14,871.80","1,847.99",11.86,4.93,20.00,9.18
45,1717,明豊ファシリティワークス(株),建設業,0,787.00,0.0,2.03,16.97,2.58,"5,598.52",780.27,13.83,3.35,16.00,34.11
46,1718,美樹工業(株),建設業,0,"4,040.00",0.0,2.48,6.20,0.38,"29,470.60","1,104.47",3.85,1.24,100.00,15.34
47,1719,安藤ハザマ,建設業,0,881.00,0.0,3.41,19.93,1.33,"359,971.00","13,016.00",3.94,1.49,30.00,67.63
48,1720,東急建設(株),建設業,0,751.00,0.0,3.99,5.17,0.86,"331,437.00","22,932.00",6.63,1.24,30.00,20.65
49,1721,コムシスホールディングス(株),建設業,0,"2,961.00",0.0,2.20,12.92,1.27,"481,783.00","39,600.00",8.08,2.13,60.00,25.93
50,1723,日本電技(株),建設業,0,"3,845.00",0.0,2.18,13.78,1.43,"28,308.86","3,228.91",11.20,2.24,84.00,33.69
51,1724,シンクレイヤ(株),建設業,0,"1,119.00",0.0,0.89,--,2.03,--,--,--,1.19,--,--
52,1726,(株)ビーアールホールディングス,建設業,0,476.00,0.0,1.68,25.48,2.98,"27,333.01","1,247.99",4.46,1.21,7.00,37.03
53,1728,ミサワホーム中国(株),建設業,0,302.00,0.0,1.66,63.69,0.60,"29,473.85",344.76,0.94,1.37,5.00,105.46
54,1730,麻生フオームクリート(株),建設業,0,525.00,0.0,0.95,59.60,1.34,"4,282.54",41.59,0.81,1.21,5.00,56.77
55,1736,(株)オーテック,建設業,0,"2,574.00",0.0,2.53,11.60,0.96,"23,844.12","1,770.88",7.06,1.97,65.00,29.30
56,1737,三井金属エンジニアリング(株),建設業,0,968.00,0.0,6.82,7.77,0.85,"32,457.22","2,295.95",6.79,3.24,66.00,53.00
57,1739,シード平和(株),建設業,0,975.00,0.0,0.62,6.86,1.39,"23,797.92","1,265.19",6.13,1.53,6.00,4.22
58,1757,クレアホールディングス(株),建設業,0,30.00,0.0,--,--,6.13,"2,281.48","-1,029.25",-6.31,2.67,0.00,--
59,1758,太洋基礎工業(株),建設業,0,"8,010.00",0.0,1.25,15.95,0.82,"10,750.46",514.49,4.04,3.09,100.00,19.92
60,1762,(株)高松コンストラクショングループ,建設業,0,"2,685.00",0.0,2.27,13.31,0.90,"249,720.00","11,593.00",4.47,2.58,60.00,29.75
61,1764,工藤建設(株),建設業,0,"2,380.00",0.0,7.56,4.35,0.69,"19,702.17","1,050.50",5.63,0.98,180.00,29.45
62,1766,東建コーポレーション(株),建設業,0,"8,210.00",0.0,2.68,10.19,1.19,"328,524.00","16,241.00",4.75,1.79,220.00,27.31
63,1768,(株)ソネック,建設業,0,792.00,0.0,2.53,9.22,0.90,"14,943.34",920.50,5.74,2.13,20.00,23.29
64,1770,藤田エンジニアリング(株),建設業,0,858.00,0.0,3.50,5.29,0.64,"29,070.88","2,106.70",6.64,1.78,30.00,18.49
65,1773,ＹＴＬ,建設業,0,0.98,0.0,4.10,42.48,0.78,"18,047.53","1,036.51",13.15,1.09,0.04,172.11
66,1775,富士古河Ｅ＆Ｃ(株),建設業,0,"2,180.00",0.0,3.21,6.36,0.89,"87,901.00","4,805.00",5.53,1.66,70.00,20.41
67,1776,三井住建道路(株),建設業,0,925.00,0.0,2.49,8.05,0.79,"34,737.00","1,591.00",4.48,1.52,23.00,20.02
68,1780,(株)ヤマウラ,建設業,0,955.00,0.0,0.52,14.28,1.26,"32,305.87","1,911.87",5.51,1.83,5.00,7.69
69,1782,常磐開発(株),建設業,0,"6,940.00",0.0,3.60,4.76,0.61,"19,030.27","1,722.22",8.85,1.60,250.00,17.14
70,1783,(株)アジアゲートホールディングス,建設業,0,63.00,0.0,--,--,0.46,"3,300.89",-22.96,2.68,6.92,0.00,--
71,1787,(株)ナカボーテック,建設業,0,"3,580.00",0.0,3.49,20.83,1.27,"10,976.34",638.00,5.46,3.57,125.00,72.32
72,1788,(株)三東工業社,建設業,0,"2,300.00",0.0,1.74,28.66,0.59,"5,500.07",96.18,1.24,2.20,40.00,62.30
73,1789,(株)ＥＴＳホールディングス,建設業,0,826.00,0.0,0.61,48.43,2.36,"5,518.61",160.82,2.91,1.97,5.00,29.32
74,1793,(株)大本組,建設業,0,"5,130.00",0.0,2.34,6.63,0.41,"83,873.00","5,626.00",6.45,2.69,120.00,15.49
75,1795,(株)マサル,建設業,0,"3,075.00",0.0,4.72,7.26,0.69,"9,095.87",514.49,5.54,1.56,145.00,34.26
76,1798,(株)守谷商会,建設業,0,"2,189.00",0.0,2.97,4.99,0.51,"38,379.51","1,383.18",3.07,1.30,65.00,14.79
77,1799,第一建設工業(株),建設業,0,"1,760.00",0.0,1.93,9.96,0.60,"49,839.71","5,340.74",10.17,6.35,34.00,19.23
78,1801,大成建設(株),建設業,0,"4,245.00",0.0,3.18,8.29,1.29,"1,650,877.00","160,777.00",9.35,1.30,130.00,25.19
79,1802,(株)大林組,建設業,0,"1,249.00",0.0,2.72,7.92,1.17,"2,039,685.00","164,635.00",7.62,1.17,32.00,20.31
80,1803,清水建設(株),建設業,0,"1,113.00",0.0,1.53,8.76,1.20,"1,664,960.00","143,219.00",7.79,1.37,14.00,28.39
81,1805,飛島建設(株),建設業,0,"1,391.00",0.0,3.59,5.28,0.74,"128,866.00","6,852.00",5.47,1.40,50.00,18.97
82,1807,(株)佐藤渡辺,建設業,0,"2,248.00",0.0,2.67,5.81,0.47,"38,835.32","1,820.35",4.37,1.50,60.00,15.51
83,1808,(株)長谷工コーポレーション,建設業,1,"1,459.00",1459.0,1.37,4.96,1.18,"890,981.00","121,241.00",10.99,1.98,20.00,27.52
84,1810,松井建設(株),建設業,0,764.00,0.0,1.96,6.31,0.61,"92,471.34","5,402.35",5.46,1.64,14.00,20.64
85,1811,(株)錢高組,建設業,0,"4,075.00",0.0,1.23,6.73,0.42,"128,130.00","7,017.00",4.46,1.32,50.00,16.52
86,1812,鹿島,建設業,0,"1,316.00",0.0,3.88,6.22,0.91,"1,974,269.00","157,474.00",6.73,1.24,50.00,23.66
87,1813,(株)不動テトラ,建設業,0,"1,676.00",0.0,2.98,11.16,1.04,"67,081.00","3,711.00",5.32,1.72,50.00,33.31
88,1814,大末建設(株),建設業,0,968.00,0.0,3.10,3.59,0.62,"64,864.00","4,177.00",6.01,1.59,20.00,7.39
89,1815,鉄建建設(株),建設業,0,"2,723.00",0.0,2.94,7.61,0.69,"174,670.00","6,546.00",4.17,1.17,80.00,22.34
90,1820,西松建設(株),建設業,0,"2,487.00",0.0,4.22,7.24,0.69,"349,318.00","26,916.00",7.08,1.20,105.00,30.57
91,1821,三井住友建設(株),建設業,2,612.00,1224.0,3.92,5.23,1.08,"448,758.00","28,444.00",6.30,1.50,24.00,20.46
92,1822,大豊建設(株),建設業,0,"2,605.00",0.0,2.88,7.38,0.72,"150,777.00","8,998.00",6.07,1.67,75.00,20.79
93,1824,前田建設工業(株),建設業,0,"1,108.00",0.0,1.81,8.78,0.87,"492,087.00","36,212.00",6.65,1.47,20.00,15.87
94,1826,佐田建設(株),建設業,0,408.00,0.0,3.19,13.66,0.48,"28,828.00",681.00,2.32,1.94,13.00,43.54
95,1827,(株)ナカノフドー建設,建設業,0,478.00,0.0,2.93,4.12,0.50,"117,152.00","5,712.00",4.47,1.34,14.00,12.06
96,1828,田辺工業(株),建設業,0,942.00,0.0,2.34,6.58,0.69,"37,495.54","2,303.58",6.08,1.71,22.00,15.38
97,1833,(株)奥村組,建設業,0,"2,875.00",0.0,4.09,9.19,0.66,"220,884.00","16,558.00",6.17,1.57,153.00,48.25
98,1835,東鉄工業(株),建設業,0,"3,255.00",0.0,2.70,12.66,1.36,"134,739.60","12,638.87",8.99,2.26,78.00,30.30
99,1840,(株)土屋ホールディングス,建設業,0,207.00,0.0,2.42,28.78,0.42,"30,417.15",371.68,0.91,1.44,5.00,83.42
100,1841,サンユー建設(株),建設業,0,952.00,0.0,2.63,4.31,0.32,"12,513.12","1,139.35",9.09,2.36,25.00,11.34
101,1844,(株)大盛工業,建設業,0,248.00,0.0,2.02,23.60,0.95,"5,975.87",179.73,2.60,2.72,5.00,47.09
102,1847,(株)イチケン,建設業,0,"1,783.00",0.0,4.49,4.11,0.65,"93,824.00","4,570.00",4.91,1.52,80.00,18.34
103,1848,(株)富士ピー・エス,建設業,0,552.00,0.0,1.63,16.47,1.26,"27,863.00",878.00,3.26,1.23,9.00,26.85
104,1850,南海辰村建設(株),建設業,0,332.00,0.0,--,--,0.96,"43,968.00",-425.00,-1.75,1.12,0.00,--
105,1852,(株)淺沼組,建設業,0,"5,240.00",0.0,2.92,10.38,1.13,"135,713.00","6,025.00",4.16,1.66,153.00,29.51
106,1853,(株)森組,建設業,0,326.00,0.0,4.29,4.90,0.90,"34,201.00","3,147.00",9.21,1.63,14.00,21.02
107,1860,戸田建設(株),建設業,0,737.00,0.0,2.71,8.83,0.85,"510,436.00","38,341.00",6.32,1.24,20.00,23.99
108,1861,(株)熊谷組,建設業,0,"3,225.00",0.0,3.10,11.30,1.11,"389,058.00","21,106.00",5.38,1.51,100.00,35.13
109,1866,北野建設(株),建設業,0,"2,533.00",0.0,3.95,5.34,0.48,"77,945.78","4,265.55",5.35,1.65,100.00,22.87
110,1867,(株)植木組,建設業,0,"2,574.00",0.0,3.11,7.97,0.42,"44,568.38","1,629.95",3.54,1.44,80.00,24.77
111,1870,矢作建設工業(株),建設業,0,857.00,0.0,3.50,8.31,0.76,"92,754.00","6,945.00",7.28,1.64,28.00,27.12
112,1871,(株)ピーエス三菱,建設業,0,676.00,0.0,2.96,4.00,0.89,"110,279.00","8,831.00",7.88,1.58,20.00,19.15
113,1873,(株)日本ハウスホールディングス,建設業,0,459.00,0.0,4.36,8.41,0.93,"48,748.00","3,661.00",7.97,0.98,20.00,36.60
114,1878,大東建託(株),建設業,1,"12,715.00",12715.0,4.85,10.50,3.08,"1,591,178.00","132,342.00",7.96,1.67,606.00,49.63
115,1879,新日本建設(株),建設業,0,904.00,0.0,2.10,5.25,0.83,"103,250.00","14,306.00",13.22,2.46,19.00,11.03
116,1881,(株)ＮＩＰＰＯ,建設業,0,"2,727.00",0.0,1.47,12.73,0.97,"413,236.00","38,627.00",9.37,2.21,40.00,18.67
117,1882,東亜道路工業(株),建設業,0,"3,435.00",0.0,3.49,--,0.44,"103,676.00","1,175.00",1.02,1.51,120.00,--
118,1883,前田道路(株),建設業,0,"3,700.00",0.0,1.49,27.82,1.55,"223,757.00","17,353.00",7.46,3.01,55.00,52.68
119,1884,日本道路(株),建設業,0,"7,520.00",0.0,2.53,14.53,0.82,"146,294.00","7,173.00",4.59,1.85,190.00,38.64
120,1885,東亜建設工業(株),建設業,0,"1,834.00",0.0,1.64,12.48,0.56,"173,692.00","4,273.00",2.20,1.36,30.00,20.74
121,1887,日本国土開発(株),建設業,0,624.00,0.0,3.21,4.48,0.85,"119,525.00","15,384.00",12.07,1.39,20.00,27.06
122,1888,若築建設(株),建設業,0,"1,700.00",0.0,3.24,6.88,0.79,"99,675.00","4,346.00",4.52,1.50,55.00,22.23
123,1890,東洋建設(株),建設業,0,513.00,0.0,2.34,8.86,0.93,"163,860.00","8,240.00",4.72,1.33,12.00,20.77
124,1893,五洋建設(株),建設業,0,679.00,0.0,2.80,10.25,1.53,"541,949.00","26,560.00",5.38,1.24,19.00,28.73
125,1897,金下建設(株),建設業,0,"4,990.00",0.0,1.00,72.62,0.71,"11,701.00",292.00,1.13,5.74,50.00,72.76
126,1898,世紀東急工業(株),建設業,0,901.00,0.0,3.00,10.46,1.15,"74,036.00","4,277.00",5.70,1.38,27.00,31.32
127,1899,(株)福田組,建設業,0,"4,970.00",0.0,2.21,7.78,0.70,"173,928.00","8,451.00",4.64,1.68,110.00,17.33
128,1904,大成温調(株),建設業,0,"2,248.00",0.0,3.11,25.95,0.64,"54,849.54",845.33,1.14,1.60,70.00,80.82
129,1905,(株)テノックス,建設業,0,994.00,0.0,3.12,10.94,0.59,"20,774.65","1,015.43",4.44,3.05,30.00,31.79
130,1906,(株)細田工務店,建設業,0,129.00,0.0,--,--,0.47,"22,100.00",-625.00,-1.52,1.60,0.00,--
131,1909,日本ドライケミカル(株),機械,0,"1,792.00",0.0,1.67,11.37,1.01,"36,304.11","1,730.13",4.69,1.47,30.00,19.03
132,1911,住友林業(株),建設業,0,"1,745.00",0.0,2.29,11.23,0.99,"1,308,893.00","56,618.00",3.79,1.63,40.00,25.02
133,1914,日本基礎技術(株),建設業,0,375.00,0.0,2.13,65.37,0.43,"24,481.98",603.21,1.68,2.05,8.00,137.58
134,1921,(株)巴コーポレーション,建設業,0,391.00,0.0,1.53,5.01,0.49,"32,584.32","4,422.65",9.75,1.73,6.00,13.12
135,1925,大和ハウス工業(株),建設業,1,"3,334.00",3334.0,3.57,9.34,1.39,"4,143,505.00","352,230.00",8.72,1.37,114.00,31.92
136,1926,ライト工業(株),建設業,0,"1,499.00",0.0,2.54,12.05,1.24,"102,825.00","9,608.00",9.20,2.11,38.00,30.31
137,1928,積水ハウス(株),建設業,1,"2,407.00",2407.0,3.32,12.92,1.40,"2,160,316.00","187,392.00",8.32,2.01,79.00,42.35
138,1929,日特建設(株),建設業,0,859.00,0.0,3.73,13.17,1.46,"63,264.00","4,000.00",6.26,2.03,30.00,45.94
139,1930,北陸電気工事(株),建設業,0,"1,160.00",0.0,1.81,9.71,0.81,"43,727.00","4,099.00",9.08,2.95,21.00,20.06
140,1934,(株)ユアテック,建設業,0,648.00,0.0,3.09,6.99,0.40,"204,054.00","9,988.00",4.49,2.24,20.00,21.57
141,1938,日本リーテック(株),建設業,0,"1,361.00",0.0,1.47,10.22,0.69,"57,524.60","4,767.91",7.20,2.06,20.00,16.52
142,1939,(株)四電工,建設業,0,"2,651.00",0.0,3.21,8.69,0.45,"80,411.00","3,608.00",3.63,1.49,80.00,26.17
143,1941,(株)中電工,建設業,0,"2,477.00",0.0,4.20,22.52,0.64,"153,322.00","9,848.00",3.89,2.74,104.00,94.40
144,1942,(株)関電工,建設業,0,"1,030.00",0.0,2.52,11.60,0.88,"563,550.00","29,904.00",5.15,1.86,26.00,26.95
145,1944,(株)きんでん,建設業,0,"1,814.00",0.0,1.60,13.64,0.88,"521,283.00","42,066.00",7.61,2.57,28.00,22.56
146,1945,(株)東京エネシス,建設業,0,879.00,0.0,2.67,8.48,0.49,"68,644.00","5,131.00",6.97,3.51,22.00,25.34
147,1946,(株)トーエネック,建設業,0,"3,660.00",0.0,3.96,10.25,0.67,"218,984.00","10,127.00",5.04,1.60,105.00,29.39
148,1948,(株)弘電社,建設業,0,"5,150.00",0.0,3.88,4.66,0.55,"37,527.00","2,928.00",7.26,1.84,200.00,18.09
149,1949,住友電設(株),建設業,0,"2,516.00",0.0,2.58,16.92,1.31,"157,016.00","8,234.00",4.80,1.87,60.00,40.33
150,1950,日本電設工業(株),建設業,0,"2,242.00",0.0,1.56,14.03,0.89,"182,464.00","15,716.00",8.14,2.39,35.00,21.92
151,1951,(株)協和エクシオ,建設業,0,"2,670.00",0.0,2.92,6.87,1.14,"423,727.00","51,617.00",11.69,2.11,70.00,18.20
152,1952,新日本空調(株),建設業,0,"2,064.00",0.0,2.66,15.93,1.12,"122,389.00","4,670.00",3.17,1.33,50.00,37.87
153,1954,日本工営(株),サービス業,0,"3,500.00",0.0,2.14,16.47,0.93,"108,589.00","5,584.00",4.42,1.87,75.00,35.96
154,1959,(株)九電工,建設業,0,"3,235.00",0.0,3.09,8.62,1.28,"408,143.00","39,260.00",8.95,1.45,100.00,26.66
155,1960,(株)サンテック,建設業,0,727.00,0.0,2.75,18.55,0.42,"45,051.21","1,222.64",1.41,1.85,20.00,60.49
156,1961,三機工業(株),建設業,0,"1,408.00",0.0,3.91,9.42,0.93,"212,314.00","11,326.00",4.38,1.55,40.00,39.73
157,1963,日揮ホールディングス(株),建設業,0,"1,590.00",0.0,1.79,16.71,0.98,"619,241.00","32,516.00",3.43,2.42,28.50,29.95
158,1964,中外炉工業(株),建設業,0,"1,777.00",0.0,3.38,18.28,0.65,"37,089.00","1,177.00",2.66,1.64,60.00,61.01
159,1965,(株)テクノ菱和,建設業,0,898.00,0.0,2.45,6.70,0.54,"67,391.00","4,663.00",6.42,1.89,22.00,16.24
160,1966,(株)高田工業所,建設業,0,860.00,0.0,1.16,14.09,0.64,"49,219.42","2,107.30",4.24,1.37,10.00,4.55
161,1967,(株)ヤマト,建設業,0,784.00,0.0,1.79,8.71,0.75,"46,272.43","3,372.89",6.81,2.36,14.00,15.55
162,1968,太平電業(株),建設業,0,"2,619.00",0.0,2.67,17.57,0.79,"101,141.00","4,463.00",3.45,2.56,80.00,54.49
163,1969,高砂熱学工業(株),建設業,0,"1,887.00",0.0,2.81,10.90,1.11,"319,834.00","18,792.00",5.46,1.54,52.00,30.15
164,1971,中央ビルト工業(株),金属製品,0,751.00,0.0,3.33,15.80,0.51,"6,055.02",204.34,3.01,1.04,25.00,52.60
165,1972,三晃金属工業(株),建設業,0,"2,650.00",0.0,5.66,5.26,0.57,"36,107.00","2,870.00",7.96,1.88,150.00,29.75
166,1973,ＮＥＣネッツエスアイ(株),情報・通信,0,"4,230.00",0.0,1.89,23.63,2.00,"277,949.00","13,023.00",4.58,2.50,78.00,43.57
167,1975,(株)朝日工業社,建設業,0,"3,290.00",0.0,2.28,7.94,0.70,"88,979.00","3,694.00",3.71,1.32,75.00,32.55
168,1976,明星工業(株),建設業,0,812.00,0.0,3.69,8.34,0.88,"52,810.00","7,532.00",13.72,3.31,30.00,30.96
169,1979,(株)大気社,建設業,0,"3,660.00",0.0,2.62,14.10,1.15,"225,402.00","14,335.00",5.60,1.71,91.00,35.05
170,1980,ダイダン(株),建設業,0,"2,783.00",0.0,2.44,11.35,0.94,"155,565.00","7,945.00",4.85,1.79,56.00,30.98
171,1981,(株)協和日成,建設業,0,719.00,0.0,2.36,11.20,0.56,"34,374.20","1,128.22",2.80,1.90,17.00,26.49
172,1982,日比谷総合設備(株),建設業,0,"1,941.00",0.0,4.12,17.44,0.79,"70,035.00","3,759.00",2.89,2.44,80.00,72.19
173,1992,神田通信機(株),建設業,0,"1,004.00",0.0,1.99,8.30,0.61,"6,225.59",319.71,3.29,2.07,60.00,49.60
174,1994,高橋カーテンウォール工業(株),建設業,0,588.00,0.0,5.10,7.18,0.64,"6,568.40",938.59,12.33,1.74,20.00,24.43
175,1997,暁飯島工業(株),建設業,0,"1,647.00",0.0,1.82,6.71,0.74,"7,595.15",724.33,9.43,1.61,30.00,18.56
176,2001,日本製粉(株),食料品,0,"1,661.00",0.0,1.99,17.11,0.85,"335,399.00","12,305.00",3.16,1.55,32.00,29.19
177,2002,(株)日清製粉グループ本社,食料品,0,"1,874.00",0.0,1.76,25.02,1.38,"565,343.00","33,113.00",4.67,2.34,32.00,42.70
178,2003,日東富士製粉(株),食料品,0,"6,280.00",0.0,3.76,8.57,0.83,"54,900.00","4,890.00",7.48,2.46,220.00,30.00
179,2004,昭和産業(株),食料品,0,"3,065.00",0.0,2.12,14.47,1.17,"255,905.00","9,430.00",3.07,1.27,60.00,26.11
