,code,name,market,sector,nikkei225,stock
0,1301,(株)極洋,東証1部,水産・農林業,,0
1,1332,日本水産(株),東証1部,水産・農林業,1.0,0
2,1333,マルハニチロ(株),東証1部,水産・農林業,1.0,0
3,1352,(株)ホウスイ,東証1部,卸売業,,0
4,1376,カネコ種苗(株),東証1部,水産・農林業,,0
5,1377,(株)サカタのタネ,東証1部,水産・農林業,,0
6,1379,ホクト(株),東証1部,水産・農林業,,0
7,1380,(株)秋川牧園,東証JQS,水産・農林業,,0
8,1381,(株)アクシーズ,東証JQS,水産・農林業,,0
9,1382,(株)ホーブ,東証JQS,水産・農林業,,0
10,1383,ベルグアース(株),東証JQS,水産・農林業,,0
11,1384,(株)ホクリヨウ,東証1部,水産・農林業,,0
12,1400,ルーデン・ホールディングス(株),東証JQG,建設業,,0
13,1401,(株)エムビーエス,マザーズ,建設業,,0
14,1407,(株)ウエストホールディングス,東証JQS,建設業,,0
15,1413,(株)ヒノキヤグループ,東証1部,建設業,,0
16,1414,ショーボンドホールディングス(株),東証1部,建設業,,0
17,1417,(株)ミライト・ホールディングス,東証1部,建設業,,0
18,1418,インターライフホールディングス(株),東証JQS,建設業,,0
19,1419,タマホーム(株),東証1部,建設業,,0
20,1420,サンヨーホームズ(株),東証1部,建設業,,0
21,1429,(株)日本アクア,東証1部,建設業,,0
22,1430,ファーストコーポレーション(株),東証1部,建設業,,0
23,1431,(株)Ｌｉｂ　Ｗｏｒｋ,マザーズ,建設業,,0
24,1433,ベステラ(株),東証1部,建設業,,0
25,1434,ＪＥＳＣＯホールディングス(株),東証2部,建設業,,0
26,1435,(株)ＴＡＴＥＲＵ,東証1部,建設業,,0
27,1436,(株)フィット,マザーズ,建設業,,0
28,1439,(株)安江工務店,東証JQS,建設業,,0
29,1443,技研ホールディングス(株),東証2部,建設業,,0
30,1446,(株)キャンディル,東証1部,建設業,,0
31,1447,ＩＴｂｏｏｋホールディングス(株),マザーズ,建設業,,0
32,1448,(株)スペースバリューホールディングス,東証1部,建設業,,0
34,1450,田中建設工業(株),東証JQS,建設業,,0
35,1451,(株)ＫＨＣ,東証2部,建設業,,0
36,1491,中外鉱業(株),東証2部,非鉄金属,,0
37,1514,住石ホールディングス(株),東証1部,鉱業,,0
38,1515,日鉄鉱業(株),東証1部,鉱業,,0
39,1518,三井松島ホールディングス(株),東証1部,鉱業,,0
40,1605,国際石油開発帝石(株),東証1部,鉱業,1.0,0
41,1662,石油資源開発(株),東証1部,鉱業,,0
42,1663,Ｋ＆Ｏエナジーグループ(株),東証1部,鉱業,,0
43,1711,(株)省電舎ホールディングス,東証2部,建設業,,0
44,1712,(株)ダイセキ環境ソリューション,東証1部,建設業,,0
45,1716,第一カッター興業(株),東証1部,建設業,,0
46,1717,明豊ファシリティワークス(株),東証1部,建設業,,0
47,1718,美樹工業(株),東証JQS,建設業,,0
48,1719,安藤ハザマ,東証1部,建設業,,0
49,1720,東急建設(株),東証1部,建設業,,0
50,1721,コムシスホールディングス(株),東証1部,建設業,1.0,0
51,1723,日本電技(株),東証JQS,建設業,,0
52,1724,シンクレイヤ(株),東証JQS,建設業,,0
53,1726,(株)ビーアールホールディングス,東証1部,建設業,,0
54,1728,ミサワホーム中国(株),東証JQS,建設業,,0
55,1730,麻生フオームクリート(株),東証JQS,建設業,,0
57,1736,(株)オーテック,東証JQS,建設業,,0
58,1737,三井金属エンジニアリング(株),東証2部,建設業,,0
60,1739,シード平和(株),東証JQG,建設業,,0
62,1757,クレアホールディングス(株),東証2部,建設業,,0
63,1758,太洋基礎工業(株),東証JQS,建設業,,0
64,1762,(株)高松コンストラクショングループ,東証1部,建設業,,0
65,1764,工藤建設(株),東証2部,建設業,,0
